61,2,252.11,359.79,60.63,13.09,0.84,-1,-1,-1
62,2,252.18,360.11,60.42,13.03,0.84,-1,-1,-1
63,2,251.53,360.21,60.38,13.00,0.85,-1,-1,-1
64,2,249.95,360.89,63.05,13.66,0.86,-1,-1,-1
65,2,249.48,361.13,63.83,13.90,0.86,-1,-1,-1
66,2,250.68,361.86,61.38,13.34,0.85,-1,-1,-1
67,2,251.14,362.12,60.47,13.12,0.85,-1,-1,-1
68,2,250.91,362.86,60.29,13.04,0.85,-1,-1,-1
69,2,250.50,363.12,60.23,13.01,0.85,-1,-1,-1
70,2,249.95,363.86,60.35,12.99,0.86,-1,-1,-1
71,2,249.42,364.12,60.40,12.99,0.86,-1,-1,-1
72,2,249.21,364.86,60.45,12.99,0.86,-1,-1,-1
73,2,249.13,365.12,60.50,12.99,0.86,-1,-1,-1
74,2,249.10,365.20,60.55,12.99,0.85,-1,-1,-1
75,2,249.08,365.88,60.59,12.99,0.85,-1,-1,-1
76,2,247.09,366.11,63.28,13.66,0.84,-1,-1,-1
77,2,247.75,366.84,61.49,13.25,0.83,-1,-1,-1
78,2,248.01,367.10,60.80,13.09,0.83,-1,-1,-1
79,2,246.78,367.18,63.22,13.69,0.83,-1,-1,-1
80,2,247.72,367.86,61.34,13.26,0.83,-1,-1,-1
81,2,247.70,368.76,60.72,13.09,0.83,-1,-1,-1
82,2,247.66,369.08,60.59,13.03,0.84,-1,-1,-1
83,2,247.61,369.18,60.63,13.00,0.84,-1,-1,-1
84,2,247.27,369.87,60.62,13.00,0.84,-1,-1,-1
85,2,245.81,370.11,63.30,13.66,0.84,-1,-1,-1
86,2,246.67,370.84,61.50,13.25,0.85,-1,-1,-1
87,2,246.63,371.10,60.90,13.09,0.85,-1,-1,-1
88,2,246.96,371.85,60.67,13.03,0.85,-1,-1,-1
89,2,246.70,372.11,60.70,13.00,0.84,-1,-1,-1
90,2,246.57,372.85,60.79,13.00,0.84,-1,-1,-1
91,2,244.88,373.11,63.46,13.66,0.84,-1,-1,-1
92,2,245.66,373.85,61.64,13.25,0.85,-1,-1,-1
93,2,244.65,374.11,63.58,13.75,0.84,-1,-1,-1
94,2,245.30,374.85,61.61,13.29,0.85,-1,-1,-1
95,2,245.90,375.12,60.81,13.10,0.84,-1,-1,-1
96,2,244.13,375.86,63.20,13.69,0.83,-1,-1,-1
96,117,374.82,0.00,44.75,6.60,0.82,-1,-1,-1
97,2,244.86,376.78,61.30,13.26,0.83,-1,-1,-1
97,117,371.20,0.00,51.02,7.58,0.83,-1,-1,-1
98,2,245.15,377.11,60.59,13.09,0.83,-1,-1,-1
98,117,367.34,0.00,57.65,8.68,0.85,-1,-1,-1
99,2,243.92,377.21,63.02,13.69,0.84,-1,-1,-1
99,117,365.94,0.66,59.38,9.09,0.84,-1,-1,-1
100,2,243.19,377.89,63.80,13.91,0.84,-1,-1,-1
100,117,367.59,2.25,55.01,8.55,0.81,-1,-1,-1
101,2,242.99,378.79,63.97,13.99,0.84,-1,-1,-1
101,117,368.72,3.57,52.38,8.29,0.82,-1,-1,-1
102,2,242.97,379.11,63.91,14.02,0.85,-1,-1,-1
102,117,368.84,4.71,50.68,8.18,0.82,-1,-1,-1
103,2,244.31,379.87,61.23,13.37,0.86,-1,-1,-1
103,117,369.25,5.78,49.35,8.13,0.81,-1,-1,-1
